id_corrida,id_piscina,numero_corrida,fecha_desde,fecha_hasta,fecha_siembra,fecha_pesca,dias_ciclo,dias_secos,cantidad_larvas_sembradas,laboratorio_larvas,laboratorio_nauplio,costo_transferencia,peso_inicial,ultimo_peso_registrado,peso_finca,libras_finca,id_cliente,codigo_larva,estado_ciclo,tipo_proceso,hectareas_corrida,corrida_origen
"BIO3,CP1,PJF-014,15",52,15,2025-04-26,2025-06-29,2025-05-03,2025-06-29,58,7,1305600.000000,PLUSLARVA 1,TEXCUMAR,4962.040000,0.200000,26.200000,28.000000,16350.000000,10,PANC44,Cerrado,ENTERO,7.680000,"(CP1, PJF-102, 58, 27.62%)"
"BIO3,CP1,PJF-014,16",52,16,2025-06-30,2025-09-09,2025-07-07,2025-09-09,65,7,1060240.000000,BUBBALAB,TEXCUMAR,4942.610000,0.150000,19.970000,21.000000,32400.000000,12,PRMCONT27G,Cerrado,ENTERO,7.680000,"(CP1, PJF-102, 61, 25.53%)"
"BIO3,CP1,PJF-014,17",52,17,2025-09-10,2025-11-18,2025-09-18,2025-11-18,62,8,1152000.000000,PLUSLARVA 1,TEXCUMAR,4704.810000,0.300000,23.600000,22.600000,35900.000000,12,PRMQUI1GSV,Cerrado,COLA,7.680000,"(CP1, PJF-102, 64, 26.55%)"
"BIO3,CP1,PJF-014,18",52,18,2025-11-19,2026-01-21,2025-11-23,2026-01-21,60,4,1152000.000000,PLUSLARVA 1,TEXCUMAR,5240.160000,0.350000,24.280000,21.500000,26700.000000,44,OMPL12G3 NC43AG2G,Cerrado,ENTERO,7.680000,"(CP1, PJF-101, 66, 28.00%)"
"BIO3,CP1,PJF-014,19",52,19,2026-01-22,2026-03-30,2026-01-30,2026-03-30,60,8,1190414.000000,PLUSLARVA 1,TEXCUMAR,6586.190000,0.510000,20.000000,19.500000,34000.000000,44,NCGQA,Cerrado,COLA,7.680000,"(CP1, PJF-102, 69, 27.00%)"
"BIO3,CP1,PJF-014,20",52,20,2026-03-31,2026-06-13,2026-04-07,2026-06-13,68,7,1025758.000000,PLUSLARVA 1,TEXCUMAR,7018.270000,0.480000,14.350000,18.050000,26680.000000,44,NC66RESG2-2G,Cerrado,COLA,7.680000,"(CP1, PJF-013, 20, 24.00%)"
"BIO3,CP1,PJF-015,01",55,01,2021-12-05,2022-03-24,2021-12-14,2022-03-24,101,9,851400.000000,TIBALLOSA,TEXCUMAR,0.000000,0.040000,0.000000,26.330000,35375.000000,,"",Cerrado,ENTERO,7.740000,""
"BIO3,CP1,PJF-012,11",45,11,2024-03-20,2024-04-18,2024-03-26,2024-04-18,24,6,2500000.000000,PLUSLARVA 1,TEXCUMAR,0.000000,0.010000,1.010000,0.000000,0.000000,,"",Cerrado,,6.830000,""
"BIO3,CP1,PJF-012,12",45,12,2024-04-19,2024-05-29,2024-04-29,2024-05-29,31,10,5500000.000000,JSD,TEXCUMAR,0.000000,0.010000,0.230000,0.000000,0.000000,,"",Cerrado,,6.830000,""
"BIO3,CP1,PJF-012,13",45,13,2024-05-30,2024-07-06,2024-06-04,2024-07-06,33,5,2500000.000000,MC CANDELL,TEXCUMAR,0.000000,0.000000,0.210000,0.000000,0.000000,,"",Cerrado,,6.830000,""
