id,codigo_piscina,horario,fecha,estado,tipo_sobrante,sobrante_kilo,m_viejo,m_rojo,m_fresco,suelo_danado,muda,oxigeno_bajo,observacion,id_corrida,id_sector,heces,balanceado_en_tolva
25910,PJF-001,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-001,17",8,false,false
25911,PJF-004,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-004,17",8,false,false
25912,PJF-008,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-008,17",8,false,false
25913,PJF-010,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-010,17",8,false,false
25914,PJF-001,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,PRIMER DIA EN TOLVA PRESENTA POCO BALANCEADO EN EL SUELO,"BIO3,CP1,PJF-001,17",8,false,false
25915,PJF-002,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-002,18",8,false,false
25916,PJF-003,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-003,18",8,false,false
25917,PJF-004,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-004,17",8,false,false
25918,PJF-005,PM,2025-11-01,,0,0.00,0.0,0.0,1.0,false,false,false,UN MUERTO FRESCO,"BIO3,CP1,PJF-005,16",8,false,false
25919,PJF-006,PM,2025-11-01,,0,0.00,1.0,0.0,0.0,false,false,false,UN MUERTO ENTRE CORTADO,"BIO3,CP1,PJF-006,24",8,false,false
25920,PJF-007,PM,2025-11-01,,0,0.00,0.0,1.0,0.0,false,false,false,UN MUERTO ROJO,"BIO3,CP1,PJF-007,17",8,false,false
25921,PJF-008,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-008,17",8,false,false
25922,PJF-009,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-009,18",8,false,false
25923,PJF-010,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,PRIMER DIA EN TOLVA PRESENTA POCO BALANCEADO EN EL SUELO,"BIO3,CP1,PJF-010,17",8,false,false
25924,PJF-011,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-011,18",8,false,false
25925,PJF-012,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-012,21",8,false,false
25926,PJF-013,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-013,17",8,false,false
