id,id_empresa,id_sector,codigo_piscina,hectareaje,descripcion,id_organizacion,estado
159,2,5,BSS-014,5.05,PISCINA 14,1,activa
160,3,10,PL2-012,1.95,PISCINA 12,1,activa
161,2,3,BSF-004,7.17,PISCINA 04,1,activa
162,2,5,BSS-015,5.88,PISCINA 15,1,activa
163,3,10,PL2-013,6.51,PISCINA 13,1,activa
164,2,7,BSP-001,3.40,PISCINA 01,1,activa
165,2,3,BSF-005,4.63,PISCINA 05,1,activa
166,2,5,BSS-016,7.57,PISCINA 16,1,activa
167,2,7,BSP-002,4.65,PISCINA 02,1,activa
168,2,3,BSF-006,8.74,PISCINA 06,1,activa
169,2,5,BSS-017,7.80,PISCINA 17,1,activa
170,2,7,BSP-003,6.50,PISCINA 03,1,activa
171,2,3,BSF-007,6.33,PISCINA 07,1,activa
172,2,5,BSS-018,4.43,PISCINA 18,1,activa
173,2,7,BSP-004,5.65,PISCINA 04,1,activa
174,2,5,BSS-019,3.09,PISCINA 19,1,activa
175,2,3,BSF-008,6.59,PISCINA 08,1,activa
176,2,7,BSP-005,2.95,PISCINA 05,1,activa
177,2,5,BSS-020,3.04,PISCINA 20,1,activa
178,2,3,BSF-009,7.15,PISCINA 09,1,activa
179,2,7,BSP-006,4.50,PISCINA 06,1,activa
180,2,3,BSF-010,6.89,PISCINA 10,1,activa
181,2,5,BSS-021,2.90,PISCINA 21,1,activa
182,2,7,BSP-007,8.25,PISCINA 07,1,activa
183,2,3,BSF-101,0.87,PRE 101,1,activa
184,2,5,BSS-022,2.45,PISCINA 22,1,activa
185,2,3,BSF-102,0.88,PRE 102,1,activa
186,2,7,BSP-008,4.45,PISCINA 08,1,activa
187,2,5,BSS-023,2.38,PISCINA 23,1,activa
188,2,3,BSF-103,0.86,PRE 103,1,activa
189,2,7,BSP-009,4.75,PISCINA 09,1,activa
190,2,5,BSS-024,1.53,PISCINA 24,1,activa
191,2,3,BSF-104,0.82,PRE 104,1,activa
192,2,5,BSS-025,1.14,PISCINA 25,1,activa
193,2,7,BSP-010,6.45,PISCINA 10,1,activa
194,2,3,BSF-105,0.70,PRE 105,1,activa
195,2,5,BSS-026,7.13,PISCINA 26,1,activa
196,2,7,BSP-101,2.18,PRE 101,1,activa
197,2,3,BSF-106,0.87,PRE 106,1,activa
198,2,5,BSS-027,6.22,PISCINA 27,1,activa
199,2,7,BSP-011,8.30,PISCINA 11,1,activa
200,2,3,BSF-011,6.84,PISCINA 11,1,activa
201,2,5,BSS-028,4.22,PISCINA 28,1,activa
202,2,7,BSP-012,7.40,PISCINA 12,1,activa
203,2,3,BSF-012,5.85,PISCINA 12,1,activa
204,2,5,BSS-029,5.04,PISCINA 29,1,activa
205,2,7,BSP-013,4.95,PISCINA 13,1,activa
206,2,3,BSF-013,8.37,PISCINA 13,1,activa
207,3,9,PL1-001,9.00,PISCINA 01,1,activa
208,2,5,BSS-030,0.73,PISCINA 30,1,activa
209,2,3,BSF-014,6.71,PISCINA 14,1,activa
210,2,3,BSF-015,6.88,PISCINA 15,1,activa
211,2,3,BSF-016,5.06,PISCINA 16,1,activa
212,2,3,BSF-017,5.89,PISCINA 17,1,activa
213,2,3,BSF-018,5.74,PISCINA 18,1,activa
214,2,3,BSF-019,6.73,PISCINA 19,1,activa
215,2,3,BSF-020,6.54,PISCINA 20,1,activa
